,Active Players (66),Pos.,Base Salary,Signing Bonus,Roster Bonus,Option Bonus,Workout Bonus,Restruc. Bonus,Misc.,Dead Cap,Cap Hit,Cap %
959,Jermaine Grace ,OLB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
960,Brad Kaaya ,QB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
961,Kenny Moore ,CB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
962,Darnell Sankey ,ILB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
963,Jason Vander Laan ,TE,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
964,Isaiah Williams ,T,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.38
965,Mo Alie-Cox ,TE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
966,Dres Anderson ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
967,Johnathan Calvin ,DE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
968,Krishawn Hogan ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
969,Justice Liggins ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
970,Kolby Listenbee ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
971,Arthur Miley ,DE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
972,DeAndre Smelter ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
973,Phillip Walker ,QB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.33
974,Najee Goode ,OLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
976,Calais Campbell ,DE,15000000.0,1500000.0,0.0,1000000.0,0.0,0.0,0.0,19500000.0,17500000.0,8.69
977,Malik Jackson ,DT,13500000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,16500000.0,15500000.0,7.70
978,A.J. Bouye ,CB,13000000.0,2000000.0,500000.0,0.0,0.0,0.0,0.0,21000000.0,15500000.0,7.70
979,Marcell Dareus ,DT,9925000.0,0.0,0.0,0.0,250000.0,0.0,0.0,7350000.0,10175000.0,5.05
980,Blake Bortles ,QB,5000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,26500000.0,10000000.0,4.97
981,Donte Moncrief ,WR,5600000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,9600000.0,9600000.0,4.77
982,Brandon Linder ,C,9000000.0,0.0,406250.0,0.0,0.0,0.0,0.0,9000000.0,9406250.0,4.67
983,Dante Fowler Jr. ,DE,3638216.0,3835955.0,0.0,0.0,0.0,0.0,0.0,7474171.0,7474171.0,3.71
984,Tashaun Gipson ,FS,5750000.0,800000.0,500000.0,0.0,0.0,0.0,0.0,2400000.0,7050000.0,3.50
985,Jalen Ramsey ,CB,2572818.0,3795636.0,0.0,0.0,0.0,0.0,0.0,13798319.0,6368454.0,3.16
986,Leonard Fournette ,RB,1699129.0,4471516.0,0.0,0.0,0.0,0.0,0.0,13414551.0,6170645.0,3.07
987,Telvin Smith ,OLB,3000000.0,810235.0,0.0,0.0,0.0,2000000.0,0.0,14240940.0,5810235.0,2.89
988,Barry Church ,SS,4500000.0,0.0,500000.0,0.0,0.0,0.0,0.0,4500000.0,5000000.0,2.48
989,Jermey Parnell ,RT,4000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,1000000.0,5000000.0,2.48
990,Andrew Norwell ,G,2000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,30000000.0,5000000.0,2.48
991,Marqise Lee ,WR,2250000.0,1750000.0,750000.0,0.0,0.0,0.0,0.0,16500000.0,4750000.0,2.36
992,D.J. Hayden ,CB,2250000.0,1666666.0,0.0,0.0,0.0,0.0,0.0,9450000.0,3916666.0,1.95
993,Abry Jones ,DT,3000000.0,0.0,0.0,0.0,500000.0,0.0,0.0,3000000.0,3500000.0,1.74
994,Austin Seferian-Jenkins ,TE,790000.0,1605000.0,500000.0,0.0,250000.0,0.0,0.0,4000000.0,3145000.0,1.56
995,Corey Grant ,RB,2914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914000.0,1.45
996,Brad Nortman ,P,2250000.0,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,2375000.0,1.18
997,Lerentee McCray ,OLB,1500000.0,250000.0,203125.0,0.0,250000.0,0.0,0.0,2000000.0,2203125.0,1.09
998,A.J. Cann ,G,1907000.0,200399.0,0.0,0.0,0.0,0.0,0.0,200399.0,2107399.0,1.05
999,Cody Davis ,FS,1500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,2500000.0,2000000.0,0.99
1000,Niles Paul ,TE,1500000.0,250000.0,218750.0,0.0,0.0,0.0,0.0,1500000.0,1968750.0,0.98
1001,T.J. Yeldon ,RB,1241421.0,640234.0,0.0,0.0,0.0,0.0,0.0,640234.0,1881655.0,0.93
1002,Myles Jack ,OLB,1025858.0,701716.0,0.0,0.0,0.0,0.0,0.0,1403434.0,1727574.0,0.86
1003,Cam Robinson ,LT,784007.0,811029.0,0.0,0.0,0.0,0.0,0.0,4029645.0,1595036.0,0.79
1004,Don Carey ,SS,915000.0,100000.0,150000.0,0.0,0.0,0.0,0.0,200000.0,1165000.0,0.58
1005,Tyler Shatley ,G,790000.0,37500.0,100000.0,0.0,75000.0,0.0,25000.0,37500.0,1027500.0,0.51
1006,Yannick Ngakoue ,DE,735101.0,214044.0,0.0,0.0,0.0,0.0,0.0,428088.0,949145.0,0.47
1007,Dawuane Smoot ,DE,640250.0,241040.0,0.0,0.0,0.0,0.0,0.0,723120.0,881290.0,0.44
1008,Josh Wells ,RT,705000.0,37500.0,93750.0,0.0,0.0,0.0,0.0,37500.0,836250.0,0.42
1009,Carson Tinker ,LS,800000.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,825000.0,0.41
1010,Jaelen Strong ,WR,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820000.0,0.41
1011,Tommy Bohanon ,FB,790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790000.0,0.39
1012,Rashad Greene ,WR,705000.0,60955.0,0.0,0.0,0.0,0.0,0.0,60955.0,765955.0,0.38
1013,Cody Kessler ,QB,758098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758098.0,0.38
1014,Michael Bennett ,DT,705000.0,34676.0,0.0,0.0,0.0,0.0,0.0,34676.0,739676.0,0.37
